,Application#,Application Type,Date,Status,ProjectName
0,23 123503 SGN 00,Sign Permit,"Mar 15, 2023",Not Started,12 ALEXANDER ST
1,23 123503 DST 00,Designated Structures,"Mar 15, 2023",Not Started,12 ALEXANDER ST
2,19 154063 HVA 00,Mechanical(MS),"May 17, 2019",Inspection,12 ALEXANDER ST
3,19 154063 PLB 00,Plumbing(PS),"May 17, 2019",Inspection,12 ALEXANDER ST
4,19 154063 BLD 00,Building Additions/Alterations,"May 15, 2019",Inspection,12 ALEXANDER ST
5,17 128181 PSA 00,Plumbing(PS),"Mar 13, 2017",Inspection,12 ALEXANDER ST
0,22 120966 BLD 00,Building Additions/Alterations,"Mar 15, 2022",Permit Issued,40-50 ALEXANDER ST
0,22 173864 BLD 00,Building Additions/Alterations,"Jul 12, 2022",Inspection,40 ALEXANDER ST
1,19 151748 BLD 00,Building Additions/Alterations,"May 9, 2019",Inspection,40 ALEXANDER ST
2,16 126550 BLD 01,Building Additions/Alterations,"Apr 11, 2017",Revision Issued,40 ALEXANDER ST
3,15 193454 BLD 01,Building Additions/Alterations,"May 26, 2016",Revision Issued,40 ALEXANDER ST
4,16 126550 BLD 00,Building Additions/Alterations,"Mar 11, 2016",Inspection,40 ALEXANDER ST
5,16 126550 PLB 00,Plumbing(PS),"Mar 11, 2016",Inspection,40 ALEXANDER ST
6,15 193454 BLD 00,Building Additions/Alterations,"Jul 20, 2015",Inspection,40 ALEXANDER ST
0,19 151748 BLD 00,Building Additions/Alterations,"May 9, 2019",Inspection,50 ALEXANDER ST
0,22 168119 TPS 00,Temporary Structures,"Jun 27, 2022",Permit Issued,70 ALEXANDER ST
1,16 189428 FSU 00,Fire/Security Upgrade,"Jul 21, 2016",Permit Issued,70 ALEXANDER ST
0,19 134954 HVA 00,Mechanical(MS),"May 22, 2019",Inspection,83 ALEXANDER ST
1,19 134954 PLB 00,Plumbing(PS),"May 22, 2019",Inspection,83 ALEXANDER ST
2,19 134954 BLD 00,Building Additions/Alterations,"Apr 3, 2019",Inspection,83 ALEXANDER ST
0,20 121557 FSU 00,Fire/Security Upgrade,"Apr 16, 2020",Inspection,88 ALEXANDER ST
0,17 161360 BLD 00,Building Additions/Alterations,"Jun 5, 2017",Inspection,100 ALEXANDER ST
0,22 239600 BLD 00,Small Residential Projects,"Dec 15, 2022",Permit Issued,5 ANCROFT PL
0,22 226688 HVA 00,Mechanical(MS),"Nov 14, 2022",Permit Issued,6 ANCROFT PL
1,22 226688 BLD 00,Small Residential Projects,"Nov 8, 2022",Inspection,6 ANCROFT PL
2,22 226688 PLB 00,Plumbing(PS),"Nov 8, 2022",Inspection,6 ANCROFT PL
0,22 239608 BLD 00,Small Residential Projects,"Dec 15, 2022",Permit Issued,7 ANCROFT PL
1,19 214039 PLB 00,Plumbing(PS),"Sep 6, 2019",Permit Issued,7 ANCROFT PL
2,19 214039 DRN 00,Drain and Site Service,"Sep 6, 2019",Permit Issued,7 ANCROFT PL
